year, pop
1.966000000000000000e+03,0.000000000000000000e+00
1.967000000000000000e+03,0.000000000000000000e+00
1.968000000000000000e+03,0.000000000000000000e+00
1.969000000000000000e+03,0.000000000000000000e+00
1.970000000000000000e+03,0.000000000000000000e+00
1.971000000000000000e+03,0.000000000000000000e+00
1.972000000000000000e+03,1.000000000000000000e+00
1.973000000000000000e+03,1.500000000000000000e+01
1.974000000000000000e+03,4.700000000000000000e+01
1.975000000000000000e+03,6.100000000000000000e+01
1.976000000000000000e+03,2.000000000000000000e+00
1.977000000000000000e+03,1.000000000000000000e+00
1.978000000000000000e+03,0.000000000000000000e+00
1.979000000000000000e+03,5.000000000000000000e+00
1.980000000000000000e+03,7.000000000000000000e+00
1.981000000000000000e+03,2.000000000000000000e+00
1.982000000000000000e+03,4.000000000000000000e+00
1.983000000000000000e+03,6.000000000000000000e+00
1.984000000000000000e+03,1.110000000000000000e+02
1.985000000000000000e+03,3.660000000000000000e+02
1.986000000000000000e+03,1.100000000000000000e+02
1.987000000000000000e+03,1.840000000000000000e+02
1.988000000000000000e+03,3.200000000000000000e+01
1.989000000000000000e+03,5.300000000000000000e+01
1.990000000000000000e+03,7.600000000000000000e+01
1.991000000000000000e+03,2.280000000000000000e+02
1.992000000000000000e+03,8.300000000000000000e+01
1.993000000000000000e+03,1.470000000000000000e+02
1.994000000000000000e+03,1.610000000000000000e+02
1.995000000000000000e+03,1.350000000000000000e+02
1.996000000000000000e+03,1.690000000000000000e+02
1.997000000000000000e+03,3.030000000000000000e+02
1.998000000000000000e+03,8.400000000000000000e+01
1.999000000000000000e+03,9.100000000000000000e+01
2.000000000000000000e+03,7.800000000000000000e+01
2.001000000000000000e+03,1.960000000000000000e+02
2.002000000000000000e+03,1.080000000000000000e+02
2.003000000000000000e+03,1.020000000000000000e+02
2.004000000000000000e+03,1.190000000000000000e+02
2.005000000000000000e+03,7.000000000000000000e+01
2.006000000000000000e+03,6.600000000000000000e+01
2.007000000000000000e+03,1.520000000000000000e+02
2.008000000000000000e+03,1.040000000000000000e+02
2.009000000000000000e+03,2.080000000000000000e+02
2.010000000000000000e+03,1.140000000000000000e+02
2.011000000000000000e+03,1.330000000000000000e+02
2.012000000000000000e+03,1.410000000000000000e+02
2.013000000000000000e+03,1.470000000000000000e+02
2.014000000000000000e+03,1.200000000000000000e+02
2.015000000000000000e+03,1.330000000000000000e+02
2.016000000000000000e+03,7.100000000000000000e+01
2.017000000000000000e+03,7.600000000000000000e+01
2.018000000000000000e+03,1.580000000000000000e+02
2.019000000000000000e+03,8.600000000000000000e+01
